"Sexe"	"Commune de travail"	"1996 T4"	"1997 T4"	"1998 T4"	"1999 T4"	"2000 T4"	"2001 T4"	"2002 T4"	"2003 T4"	"2004 T4"	"2005 T4"	"2006 T4"	"2007 T4"	"2008 T4"	"2009 T4"	"2010 T4"	"2011 T4"	"2012 T4"	"2013 T4"	"2014 T4"
"Sexe - Total"	"- Zürich"	2974.9	2948.0	2991.1	3056.9	3359.5	3818.4	3931.4	3882.2	3954.4	4208.5	4630.1	5247.2	5655.7	6132.6	6666.0	7549.2	8219.5	8908.8	9368.7
"Sexe - Total"	"……Aeugst am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Affoltern am Albis"	0.0	0.0	0.0	0.0	0.0	0.9	2.8	2.8	1.8	1.7	1.7	2.6	1.7	4.3	5.0	7.6	11.0	16.9	15.8
"Sexe - Total"	"……Bonstetten"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.8	0.8	1.7	1.7	1.7
"Sexe - Total"	"……Hausen am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8
"Sexe - Total"	"……Hedingen"	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	0.0	0.0	0.0	6.0	14.5	16.2	14.3	18.7	21.2	24.5	29.1
"Sexe - Total"	"……Kappel am Albis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Knonau"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.8	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Maschwanden"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.8	0.8	0.8	0.0	0.0
"Sexe - Total"	"……Mettmenstetten"	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.9	0.9	2.6	2.5	2.5	1.7	1.7	1.7
"Sexe - Total"	"……Obfelden"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.9	0.8	0.8	1.7	1.7	0.8
"Sexe - Total"	"……Ottenbach"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Rifferswil"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Stallikon"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	0.9	0.8	1.7	0.8	1.7	1.7
"Sexe - Total"	"……Wettswil am Albis"	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.9	0.0	0.9	0.9	3.4	3.4	4.2	5.9	5.9	5.8
"Sexe - Total"	"……Adlikon"	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	2.5	1.7
"Sexe - Total"	"……Benken (ZH)"	0.0	0.0	0.0	0.0	0.0	1.9	1.9	1.9	1.8	1.7	0.9	0.9	0.9	0.9	0.8	1.7	1.7	1.7	0.8
"Sexe - Total"	"……Berg am Irchel"	0.9	0.9	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Buch am Irchel"	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8	0.8
"Sexe - Total"	"……Dachsen"	18.0	18.0	16.1	22.7	22.7	25.5	20.7	19.8	20.8	18.7	18.0	21.5	18.8	17.9	18.4	20.4	18.7	16.9	20.8
"Sexe - Total"	"……Dorf"	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.9	1.7	0.8	1.7	1.7	1.7	1.7
"Sexe - Total"	"……Feuerthalen"	31.3	32.2	37.8	40.6	39.7	46.2	48.1	38.6	38.0	40.0	48.0	51.6	55.5	47.8	46.1	40.7	41.6	43.2	49.0
"Sexe - Total"	"……Flaach"	10.4	6.6	8.5	4.7	6.6	8.5	12.3	12.2	11.8	10.2	11.1	13.8	15.4	17.9	16.8	14.4	11.9	17.8	17.4
"Sexe - Total"	"……Flurlingen"	7.6	5.7	4.7	4.7	4.7	3.8	10.4	11.3	10.8	11.1	13.7	20.6	22.2	25.6	26.0	28.8	28.9	24.5	28.2
"Sexe - Total"	"……Andelfingen"	17.0	17.0	15.1	16.1	19.8	25.5	26.4	24.5	25.3	24.7	27.4	26.7	27.3	29.9	25.2	28.8	28.0	27.1	32.4
"Sexe - Total"	"……Henggart"	3.8	2.8	2.8	2.8	2.8	4.7	6.6	2.8	3.6	3.4	3.4	4.3	6.8	3.4	4.2	3.4	4.2	3.4	4.2
"Sexe - Total"	"……Humlikon"	0.0	0.0	0.0	0.0	0.0	1.9	0.9	0.9	0.9	0.9	1.7	3.4	1.7	1.7	0.8	0.8	0.8	0.8	0.8
"Sexe - Total"	"……Kleinandelfingen"	11.4	11.4	8.5	4.7	6.6	6.6	8.5	7.5	6.3	11.1	12.9	12.9	14.5	11.1	11.7	15.3	18.7	16.9	16.6
"Sexe - Total"	"……Laufen-Uhwiesen"	4.7	4.7	3.8	0.9	2.8	3.8	6.6	7.5	8.1	7.7	10.3	9.5	9.4	9.4	10.1	13.6	17.0	17.8	19.1
"Sexe - Total"	"……Marthalen"	28.4	26.5	26.5	23.6	25.5	27.4	24.5	22.6	16.3	14.5	13.7	15.5	15.4	18.8	21.0	33.9	36.5	42.3	43.2
"Sexe - Total"	"……Oberstammheim"	3.8	2.8	0.9	0.9	1.9	1.9	1.9	0.9	1.8	1.7	1.7	1.7	1.7	2.6	1.7	2.5	3.4	4.2	2.5
"Sexe - Total"	"……Ossingen"	5.7	4.7	4.7	4.7	3.8	3.8	3.8	4.7	3.6	2.6	2.6	3.4	5.1	8.5	9.2	9.3	9.3	10.2	10.0
"Sexe - Total"	"……Rheinau"	125.0	127.8	131.4	138.0	148.2	149.1	142.4	129.1	118.4	123.3	117.5	98.9	96.6	91.3	88.0	104.3	119.8	93.1	92.2
"Sexe - Total"	"……Thalheim an der Thur"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.8
"Sexe - Total"	"……Trüllikon"	2.8	1.9	0.9	0.9	1.9	2.8	0.0	0.0	0.0	0.0	0.9	0.9	0.9	0.9	0.0	1.7	1.7	1.7	1.7
"Sexe - Total"	"……Truttikon"	1.9	0.0	0.0	0.9	1.9	1.9	1.9	0.9	0.9	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sexe - Total"	"……Unterstammheim"	0.9	0.9	0.9	0.9	0.9	0.9	4.7	4.7	3.6	4.3	4.3	2.6	0.9	0.9	1.7	2.5	1.7	0.8	1.7
"Sexe - Total"	"……Volken"	0.0	0.0	0.0	0.9	0.9	0.9	0.9	1.9	1.8	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	2.5	1.7
"Sexe - Total"	"……Waltalingen"	3.8	2.8	1.9	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	1.7	3.4	3.4	3.4	4.2	5.0
