"Frontaliers étrangers selon le sexe, le canton de travail, les groupes d'âges et les grands groupes de professions"

"Sexe"	"Canton"	"Classe d'âge"	"Grand groupe de profession"	"2000 T2"	"2001 T2"	"2002 T2"	"2003 T2"	"2004 T2"	"2005 T2"	"2006 T2"	"2007 T2"	"2008 T2"	"2009 T2"	"2010 T2"	"2011 T2"	"2012 T2"	"2013 T2"	"2014 T2"
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Grand groupe de profession - Total"	141793.1	154789.6	161224.6	166965.4	175679.7	176524.3	185173.8	204175.5	216292.7	221038.8	231093.2	247277.2	265086.1	276386.7	288148.6
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Non attribuable"	1882.6	2075.6	2163.6	1310.0	958.9	1083.7	1099.4	1204.0	1782.7	1440.0	1512.0	2522.4	2593.8	2728.7	2598.3
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Directeurs, cadres de direction, gérants"	5926.3	6810.0	7494.2	9029.4	10226.8	10246.9	10790.0	12198.2	13724.6	14530.9	15355.4	16539.3	18129.5	19384.8	20283.6
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Prof. intellectuelles et scientifiques"	14196.1	15805.0	16919.0	18753.3	20407.9	20413.9	21407.9	23481.4	25105.8	25960.7	27105.8	28915.0	30949.4	31953.6	33340.7
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Professions intermédiaires"	21681.9	24219.5	26172.2	28267.1	30415.6	30282.0	31986.7	35979.8	38480.6	39111.6	39876.7	42356.5	45845.6	47149.7	48473.0
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Employés de type administrati"	10973.2	11877.6	12253.3	11197.9	11214.2	11693.6	12290.6	13735.2	15091.0	16635.1	18018.8	20556.0	23135.3	26197.5	28807.2
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Pers. des services, commerçants, vendeurs"	19633.1	21730.5	23438.0	24974.2	26675.3	27132.1	28189.8	30616.8	31532.5	31731.8	32625.1	34436.4	36437.2	38044.4	39574.0
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Agriculteurs, sylviculteurs"	777.4	885.3	968.6	1038.6	1109.3	1125.9	1166.4	1242.0	1235.1	1214.6	1215.5	1263.3	1357.0	1411.1	1451.5
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Métiers de l’industrie et de l’artisanat"	36459.0	39032.5	39253.6	39055.0	39811.1	38539.2	39416.7	41919.8	42441.4	41247.6	41017.7	42329.1	43699.2	43451.1	43825.1
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Conducteurs et assembleurs"	12176.6	12719.5	12836.2	13157.2	13586.2	13316.9	13774.3	14911.6	15365.6	15088.9	15434.3	15928.7	16762.9	17071.6	17383.3
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Professions élémentaires"	18086.9	19634.2	19725.8	20182.9	21274.4	22690.2	25052.0	28886.6	31533.4	34077.7	38931.7	42430.4	46176.2	48994.3	52411.8
"Sexe - Total"	"Suisse"	"15-19 ans"	"Grand groupe de profession - Total"	1296.9	1615.9	1350.6	1308.1	1197.9	1236.6	1283.4	1460.2	1656.8	1473.4	1349.9	1464.3	1426.3	1465.2	1399.4
"Sexe - Total"	"Suisse"	"15-19 ans"	"Non attribuable"	6.6	9.4	9.4	10.4	10.5	8.8	6.8	7.8	15.7	10.3	5.2	75.6	47.6	28.3	12.8
"Sexe - Total"	"Suisse"	"15-19 ans"	"Directeurs, cadres de direction, gérants"	0.9	0.0	0.9	0.9	1.0	0.0	2.5	4.3	6.1	4.3	3.5	3.4	4.3	9.4	4.3
"Sexe - Total"	"Suisse"	"15-19 ans"	"Prof. intellectuelles et scientifiques"	12.3	9.4	11.3	7.5	9.5	14.9	21.2	15.5	21.9	24.0	23.4	19.8	19.0	24.0	22.2
"Sexe - Total"	"Suisse"	"15-19 ans"	"Professions intermédiaires"	57.6	77.4	85.8	57.5	62.8	82.6	85.7	126.8	149.6	112.3	85.8	99.6	104.7	85.0	86.2
"Sexe - Total"	"Suisse"	"15-19 ans"	"Employés de type administrati"	68.0	98.2	65.1	134.8	151.4	151.2	149.3	160.4	193.3	188.6	248.0	265.4	301.2	383.7	341.3
"Sexe - Total"	"Suisse"	"15-19 ans"	"Pers. des services, commerçants, vendeurs"	218.2	295.4	261.3	276.1	213.3	224.1	212.1	230.3	242.3	241.7	227.2	222.4	212.0	202.6	198.0
"Sexe - Total"	"Suisse"	"15-19 ans"	"Agriculteurs, sylviculteurs"	9.4	6.6	14.1	15.1	14.3	14.1	17.0	17.2	19.2	12.0	13.0	11.2	19.0	20.6	17.9
"Sexe - Total"	"Suisse"	"15-19 ans"	"Métiers de l’industrie et de l’artisanat"	483.6	567.3	544.2	475.9	484.7	445.6	435.2	462.3	508.2	436.3	303.4	316.9	332.3	321.0	314.9
"Sexe - Total"	"Suisse"	"15-19 ans"	"Conducteurs et assembleurs"	58.6	72.7	77.3	52.8	53.3	51.9	48.4	62.1	63.9	48.9	41.6	27.5	35.5	28.3	28.2
"Sexe - Total"	"Suisse"	"15-19 ans"	"Professions élémentaires"	381.6	479.5	281.1	277.1	197.1	243.5	305.4	373.5	436.5	395.1	398.8	422.5	350.5	362.2	373.7
"Sexe - Total"	"Suisse"	"20-24 ans"	"Grand groupe de profession - Total"	6396.7	8595.8	9054.2	9368.6	9491.7	10237.3	11240.5	13073.7	14738.4	14566.9	14165.0	15333.5	16127.7	16895.6	16962.6
"Sexe - Total"	"Suisse"	"20-24 ans"	"Non attribuable"	82.2	88.7	87.7	45.2	47.6	56.2	57.7	72.4	108.5	79.7	75.4	182.1	161.8	190.6	153.6
"Sexe - Total"	"Suisse"	"20-24 ans"	"Directeurs, cadres de direction, gérants"	22.7	45.3	38.7	65.0	60.0	81.7	99.2	112.1	140.8	133.7	101.4	119.4	122.0	103.0	114.3
"Sexe - Total"	"Suisse"	"20-24 ans"	"Prof. intellectuelles et scientifiques"	283.4	397.4	436.7	450.5	410.4	437.7	476.7	573.6	647.3	636.8	602.6	651.9	727.0	733.9	693.7
"Sexe - Total"	"Suisse"	"20-24 ans"	"Professions intermédiaires"	770.8	1082.6	1168.6	1256.3	1277.9	1330.6	1597.3	2155.4	2423.0	2187.4	1871.8	2125.6	2300.4	2264.3	2170.8
"Sexe - Total"	"Suisse"	"20-24 ans"	"Employés de type administrati"	320.2	530.5	667.7	716.2	741.8	910.5	1006.9	1121.2	1380.3	1597.7	1719.3	2052.6	2346.2	2868.6	3080.4
"Sexe - Total"	"Suisse"	"20-24 ans"	"Pers. des services, commerçants, vendeurs"	1472.6	1917.9	2166.4	2479.5	2637.6	2675.3	2633.9	2726.3	2891.0	2905.7	2852.4	3040.3	3149.4	3359.6	3367.1
"Sexe - Total"	"Suisse"	"20-24 ans"	"Agriculteurs, sylviculteurs"	70.8	106.7	124.5	118.7	132.4	116.9	117.1	116.4	100.6	104.6	98.0	114.2	118.6	118.5	128.0
"Sexe - Total"	"Suisse"	"20-24 ans"	"Métiers de l’industrie et de l’artisanat"	1974.2	2623.0	2671.9	2575.6	2480.5	2467.9	2539.7	2772.1	3114.1	2918.5	2530.8	2606.5	2610.2	2431.7	2358.5
"Sexe - Total"	"Suisse"	"20-24 ans"	"Conducteurs et assembleurs"	422.2	526.7	498.9	500.4	479.0	560.7	672.7	775.4	831.0	735.4	659.8	656.1	657.7	630.0	605.0
"Sexe - Total"	"Suisse"	"20-24 ans"	"Professions élémentaires"	977.6	1277.0	1193.1	1161.1	1224.5	1599.6	2039.2	2648.7	3101.8	3267.4	3653.5	3784.9	3934.3	4195.6	4291.2
"Sexe - Total"	"Suisse"	"25-29 ans"	"Grand groupe de profession - Total"	14403.9	16755.4	17723.5	18414.0	19403.3	20464.0	22458.9	25357.3	27924.2	28800.4	29541.2	31838.5	34031.3	36008.4	37519.3
"Sexe - Total"	"Suisse"	"25-29 ans"	"Non attribuable"	114.3	148.2	178.3	151.7	148.5	213.6	200.2	203.5	286.0	222.0	238.4	352.1	358.3	439.5	394.2
"Sexe - Total"	"Suisse"	"25-29 ans"	"Directeurs, cadres de direction, gérants"	263.5	323.7	382.9	462.7	490.4	498.3	566.6	681.4	825.8	842.6	822.8	931.0	968.4	1018.0	990.7
"Sexe - Total"	"Suisse"	"25-29 ans"	"Prof. intellectuelles et scientifiques"	1705.0	2069.9	2226.8	2474.8	2502.4	2445.1	2599.1	2758.3	3105.3	3212.5	3201.8	3509.2	3727.5	3775.9	3862.0
"Sexe - Total"	"Suisse"	"25-29 ans"	"Professions intermédiaires"	2136.6	2759.9	3189.7	3569.0	3797.4	3800.3	4146.4	4811.0	5412.9	5495.1	5376.3	5710.3	6201.0	6328.6	6340.0
"Sexe - Total"	"Suisse"	"25-29 ans"	"Employés de type administrati"	736.8	942.0	1069.5	1052.7	1216.9	1494.1	1693.2	2063.9	2447.5	2877.4	3096.9	3624.3	4065.0	4866.0	5497.8
"Sexe - Total"	"Suisse"	"25-29 ans"	"Pers. des services, commerçants, vendeurs"	2943.3	3176.1	3384.0	3569.0	3874.6	4132.5	4496.7	4907.6	5086.6	5100.8	5098.0	5317.0	5682.6	6039.3	6363.0
"Sexe - Total"	"Suisse"	"25-29 ans"	"Agriculteurs, sylviculteurs"	91.6	117.0	135.8	160.2	181.9	207.4	210.4	238.0	230.1	228.9	208.9	190.7	186.1	196.6	207.4
"Sexe - Total"	"Suisse"	"25-29 ans"	"Métiers de l’industrie et de l’artisanat"	3671.6	4147.3	4067.8	3896.0	3982.2	4035.0	4377.1	4842.0	5063.0	4907.1	4753.8	4877.3	4919.2	4958.7	4851.0
"Sexe - Total"	"Suisse"	"25-29 ans"	"Conducteurs et assembleurs"	997.5	1073.2	1034.6	1048.9	1067.4	1095.1	1213.9	1306.7	1436.3	1412.5	1388.9	1404.2	1508.5	1535.6	1605.0
"Sexe - Total"	"Suisse"	"25-29 ans"	"Professions élémentaires"	1743.7	1998.2	2054.2	2029.0	2141.5	2542.6	2955.4	3544.8	4030.8	4501.6	5355.4	5922.5	6414.7	6850.4	7408.3
"Sexe - Total"	"Suisse"	"30-34 ans"	"Grand groupe de profession - Total"	24623.4	25565.4	25434.7	25527.4	26063.1	25926.3	26693.5	29478.3	30971.8	31454.9	32561.0	35255.7	38531.6	41434.0	43688.6
"Sexe - Total"	"Suisse"	"30-34 ans"	"Non attribuable"	250.3	261.4	264.1	157.4	154.3	186.3	187.5	215.6	326.3	250.3	249.7	347.8	378.2	423.2	441.2
"Sexe - Total"	"Suisse"	"30-34 ans"	"Directeurs, cadres de direction, gérants"	869.0	1002.4	1079.0	1276.0	1327.4	1296.4	1260.5	1483.5	1682.1	1762.3	1784.3	1927.2	2123.0	2282.3	2334.6
"Sexe - Total"	"Suisse"	"30-34 ans"	"Prof. intellectuelles et scientifiques"	3049.1	3328.1	3499.1	3741.4	3936.5	3908.4	4007.2	4367.7	4490.0	4535.9	4596.0	4879.9	5246.4	5539.8	5726.5
