Année	Commune	Emplois
2012	0001 Aeugst am Albis	455
2012	0002 Affoltern am Albis	6039
2012	0003 Bonstetten	1022
2012	0004 Hausen am Albis	908
2012	0005 Hedingen	1569
2012	0006 Kappel am Albis	319
2012	0007 Knonau	471
2012	0008 Maschwanden	137
2012	0009 Mettmenstetten	1527
2012	0010 Obfelden	1255
2012	0011 Ottenbach	739
2012	0012 Rifferswil	230
2012	0013 Stallikon	893
2012	0014 Wettswil am Albis	980
2012	0021 Adlikon	172
2012	0022 Benken (ZH)	262
2012	0023 Berg am Irchel	163
2012	0024 Buch am Irchel	181
2012	0025 Dachsen	376
2012	0026 Dorf	166
2012	0027 Feuerthalen	1092
2012	0028 Flaach	703
2012	0029 Flurlingen	518
2012	0030 Andelfingen	1308
2012	0031 Henggart	577
2012	0032 Humlikon	178
2012	0033 Kleinandelfingen	945
2012	0034 Laufen-Uhwiesen	382
2012	0035 Marthalen	1048
2012	0036 Oberstammheim	402
2012	0037 Ossingen	461
2012	0038 Rheinau	482
2012	0039 Thalheim an der Thur	253
2012	0040 Trüllikon	368
2012	0041 Truttikon	95
2012	0042 Unterstammheim	411
2012	0043 Volken	109
2012	0044 Waltalingen	242
2012	0051 Bachenbülach	1815
2012	0052 Bassersdorf	3745
2012	0053 Bülach	10268
2012	0054 Dietlikon	5768
2012	0055 Eglisau	1308
2012	0056 Embrach	3578
2012	0057 Freienstein-Teufen	598
2012	0058 Glattfelden	880
2012	0059 Hochfelden	391
2012	0060 Höri	1092
2012	0061 Hüntwangen	273
2012	0062 Kloten	35662
2012	0063 Lufingen	324
2012	0064 Nürensdorf	1051
2012	0065 Oberembrach	251
2012	0066 Opfikon	20574
2012	0067 Rafz	1360
2012	0068 Rorbas	456
2012	0069 Wallisellen	16066
2012	0070 Wasterkingen	71
2012	0071 Wil (ZH)	441
2012	0072 Winkel	889
2012	0081 Bachs	256
2012	0082 Boppelsen	287
2012	0083 Buchs (ZH)	2215
2012	0084 Dällikon	2717
2012	0085 Dänikon	452
2012	0086 Dielsdorf	3783
2012	0087 Hüttikon	130
2012	0088 Neerach	617
2012	0089 Niederglatt	1342
2012	0090 Niederhasli	2326
2012	0091 Niederweningen	843
2012	0092 Oberglatt	1278
2012	0093 Oberweningen	288
2012	0094 Otelfingen	2906
2012	0095 Regensberg	206
2012	0096 Regensdorf	10793
2012	0097 Rümlang	5759
2012	0098 Schleinikon	139
2012	0099 Schöfflisdorf	348
2012	0100 Stadel	561
2012	0101 Steinmaur	742
2012	0102 Weiach	236
2012	0111 Bäretswil	1455
2012	0112 Bubikon	3194
2012	0113 Dürnten	1798
2012	0114 Fischenthal	742
2012	0115 Gossau (ZH)	2778
2012	0116 Grüningen	1633
2012	0117 Hinwil	6650
2012	0118 Rüti (ZH)	4476
2012	0119 Seegräben	453
2012	0120 Wald (ZH)	3321
2012	0121 Wetzikon (ZH)	13358
2012	0131 Adliswil	7651
2012	0132 Hirzel	595
2012	0133 Horgen	9351
2012	0134 Hütten	245
2012	0135 Kilchberg (ZH)	3915
2012	0136 Langnau am Albis	1535
2012	0137 Oberrieden	1207
2012	0138 Richterswil	3755
2012	0139 Rüschlikon	2767
2012	0140 Schönenberg (ZH)	582
2012	0141 Thalwil	6694
2012	0142 Wädenswil	8583
2012	0151 Erlenbach (ZH)	2080
2012	0152 Herrliberg	1326
2012	0153 Hombrechtikon	2859
2012	0154 Küsnacht (ZH)	5761
2012	0155 Männedorf	4660
2012	0156 Meilen	6029
2012	0157 Oetwil am See	2177
